subject_id,slice_idx,type,n_features,mse,rmse,variance_explained,n_components,tumor_percentage
BraTS20_Training_261,86,original,4,9.768980024904224e-33,9.883815065501895e-17,0.9999999999999999,4,
BraTS20_Training_262,77,original,4,8.859909314847305e-33,9.412709129069751e-17,1.0,4,
BraTS20_Training_263,115,original,4,1.5907083717890596e-32,1.261232877699063e-16,0.9999999999999999,4,
BraTS20_Training_264,70,original,4,1.650641044917532e-32,1.284772760030945e-16,1.0,4,
BraTS20_Training_265,91,original,4,3.8968197944244337e-32,1.9740364217573175e-16,0.9999999999999999,4,
BraTS20_Training_266,99,original,4,1.1598959020269018e-32,1.0769846340718617e-16,0.9999999999999999,4,
BraTS20_Training_267,58,original,4,1.5968285990447683e-32,1.2636568359506344e-16,0.9999999999999999,4,
BraTS20_Training_268,53,original,4,5.016069454972246e-32,2.2396583344278757e-16,1.0,4,
BraTS20_Training_269,88,original,4,1.6441862474392975e-32,1.282258260819285e-16,1.0,4,
BraTS20_Training_270,85,original,4,6.93233965461485e-33,8.326067291713928e-17,1.0,4,
BraTS20_Training_271,76,original,4,2.638314974548215e-32,1.624289067422488e-16,1.0,4,
BraTS20_Training_272,68,original,4,3.211615360305636e-32,1.7920980331180647e-16,0.9999999999999999,4,
BraTS20_Training_273,68,original,4,4.168902104425397e-33,6.456703574135487e-17,1.0000000000000002,4,
BraTS20_Training_274,89,original,4,3.7709220102176083e-32,1.9418861990903609e-16,1.0,4,
BraTS20_Training_275,54,original,4,1.0205124370615384e-32,1.0102041561296105e-16,1.0,4,
BraTS20_Training_276,100,original,4,6.646424361620859e-33,8.152560555813651e-17,0.9999999999999999,4,
BraTS20_Training_277,78,original,4,2.6351853325111144e-32,1.6233253932933824e-16,0.9999999999999999,4,
